order_id,customer_id,product_id,order_date,quantity,amount
88,148,6,10-02-2024,4,2000
89,249,7,01-01-2024,4,
90,119,37,01-01-2024,0,1000
91,227,53,invalid,-1,
92,259,18,10-02-2024,3,2000
93,257,87,,0,-100
94,282,38,10-02-2024,-2,5000
95,20,59,10-02-2024,2,5000
96,99,1,01-01-2024,4,2000
97,143,68,invalid,1,2000
98,110,44,invalid,1,1000
99,216,47,10-02-2024,2,
100,122,35,10-02-2024,-2,1000
101,158,87,15-03-2024,3,5000
102,86,91,01-01-2024,2,
103,97,60,,-2,1000
104,58,90,,0,5000
105,178,52,invalid,3,
106,20,8,01-01-2024,-1,-100
107,161,80,invalid,-2,-100
108,39,41,,1,1000
109,23,3,10-02-2024,1,2000
110,152,96,01-01-2024,4,
111,267,69,01-01-2024,3,1000
112,41,84,15-03-2024,-1,2000
113,280,14,10-02-2024,-2,2000
114,98,96,10-02-2024,-1,
115,42,26,invalid,4,
116,137,70,01-01-2024,0,2000
117,26,58,invalid,-1,5000
118,262,100,10-02-2024,0,1000
119,125,40,15-03-2024,1,
120,263,51,01-01-2024,0,2000
121,127,5,10-02-2024,-2,5000
122,11,77,15-03-2024,3,-100
123,229,32,,3,2000
124,188,80,10-02-2024,-2,5000
125,271,1,,-2,-100
126,233,77,invalid,-2,5000
127,27,54,,2,
128,262,11,10-02-2024,4,2000
129,146,53,,0,-100
130,183,8,01-01-2024,-2,5000
131,160,25,10-02-2024,3,-100
132,81,40,15-03-2024,-1,1000
133,265,32,,-1,2000
134,113,88,01-01-2024,2,
135,254,28,invalid,0,-100
136,120,78,invalid,0,5000
137,293,3,,4,-100
138,126,100,invalid,0,5000
139,39,91,15-03-2024,3,-100
140,243,84,10-02-2024,3,
141,175,79,01-01-2024,4,
142,177,62,,2,2000
143,3,27,invalid,0,
144,167,45,10-02-2024,0,-100
145,146,92,15-03-2024,-2,-100
146,5,25,invalid,0,
147,255,61,invalid,3,1000
148,78,44,01-01-2024,-2,-100
149,292,97,15-03-2024,-2,2000
150,294,46,15-03-2024,0,1000
151,143,14,,-1,
152,226,8,01-01-2024,1,5000
153,62,48,,3,-100
154,126,14,01-01-2024,-1,5000
155,198,65,15-03-2024,0,2000
156,35,80,01-01-2024,0,1000
157,271,82,01-01-2024,-1,5000
158,53,7,01-01-2024,0,2000
159,161,79,10-02-2024,3,5000
160,243,88,10-02-2024,4,5000
161,144,49,15-03-2024,-2,2000
162,71,55,01-01-2024,2,-100
163,277,13,15-03-2024,0,5000
164,173,73,10-02-2024,0,2000
165,222,56,01-01-2024,-1,5000
166,220,56,,-2,-100
167,293,15,10-02-2024,-1,2000
168,12,57,10-02-2024,4,5000
169,124,58,10-02-2024,3,
170,252,35,01-01-2024,-1,-100
171,218,88,invalid,0,5000
172,220,97,,-2,1000
173,213,16,,3,2000
174,83,8,15-03-2024,0,5000
175,86,93,01-01-2024,3,-100
176,168,87,10-02-2024,0,-100
177,101,45,invalid,0,1000
178,285,95,01-01-2024,0,1000
179,255,40,01-01-2024,2,5000
180,233,54,invalid,1,
181,54,14,10-02-2024,-2,-100
182,240,59,01-01-2024,4,
183,255,94,,2,
184,236,53,,1,5000
185,249,27,invalid,3,2000
186,281,47,10-02-2024,1,2000
187,181,80,invalid,1,2000
188,146,6,01-01-2024,2,1000
189,63,55,,-2,-100
190,236,97,15-03-2024,-1,1000
191,69,44,invalid,1,-100
192,214,18,15-03-2024,-1,-100
193,227,16,15-03-2024,-1,-100
194,289,12,,0,5000
195,108,20,invalid,-1,2000
196,252,45,15-03-2024,3,1000
197,273,64,01-01-2024,3,1000
198,137,59,10-02-2024,0,5000
199,243,93,10-02-2024,-2,-100
200,101,94,,4,2000
201,177,90,invalid,-2,
202,79,22,invalid,3,
203,114,97,10-02-2024,4,5000
204,292,47,01-01-2024,0,2000
205,134,29,10-02-2024,-2,
206,123,86,10-02-2024,4,
207,298,45,invalid,4,1000
208,53,77,15-03-2024,1,2000
209,296,9,01-01-2024,-2,
210,37,24,invalid,0,1000
211,296,15,10-02-2024,4,2000
212,214,36,15-03-2024,3,-100
213,224,13,01-01-2024,1,2000
214,252,91,,-1,5000
215,180,44,01-01-2024,-1,1000
216,113,71,01-01-2024,-1,-100
217,22,72,10-02-2024,3,1000
218,297,78,10-02-2024,4,1000
219,224,76,,0,
220,33,36,,-1,2000
221,37,61,,-2,1000
222,63,81,invalid,-1,1000
223,209,40,invalid,4,5000
224,5,93,10-02-2024,2,5000
225,69,27,10-02-2024,3,5000
226,150,1,,2,1000
227,131,34,invalid,-1,-100
228,224,68,15-03-2024,4,2000
229,108,88,invalid,-1,1000
230,195,21,10-02-2024,2,
231,94,33,invalid,4,-100
232,274,7,10-02-2024,3,-100
233,170,65,,3,2000
234,247,3,,-1,-100
235,95,51,,3,2000
236,72,79,15-03-2024,1,-100
237,38,95,15-03-2024,4,2000
238,25,54,10-02-2024,4,5000
239,273,80,01-01-2024,3,5000
240,46,74,15-03-2024,4,-100
241,146,93,10-02-2024,2,-100
242,257,59,invalid,0,2000
243,51,6,,2,2000
244,39,29,,-2,1000
245,133,17,,1,5000
246,150,60,10-02-2024,0,1000
247,251,22,,-1,1000
248,160,24,15-03-2024,4,
249,62,81,invalid,-2,2000
250,101,85,,-2,
251,103,51,10-02-2024,1,
252,171,50,invalid,0,1000
253,63,11,,-2,
254,102,56,01-01-2024,0,2000
255,294,71,,0,1000
256,284,42,15-03-2024,3,2000
257,173,39,invalid,-2,-100
258,156,69,15-03-2024,0,
259,28,48,01-01-2024,1,1000
260,175,57,01-01-2024,-2,5000
261,8,21,15-03-2024,1,2000
262,202,82,invalid,1,
263,271,99,01-01-2024,0,2000
264,81,20,01-01-2024,0,2000
265,17,15,,3,-100
266,90,69,10-02-2024,4,2000
267,270,77,01-01-2024,3,-100
268,203,51,invalid,-2,-100
269,296,76,invalid,3,-100
270,147,62,,-1,
271,292,85,invalid,-2,2000
272,162,37,,1,2000
273,229,6,01-01-2024,3,-100
274,286,71,01-01-2024,3,2000
275,14,26,01-01-2024,4,2000
276,136,8,01-01-2024,3,-100
277,117,73,10-02-2024,0,5000
278,175,91,10-02-2024,1,5000
279,104,4,01-01-2024,3,-100
280,235,21,invalid,2,
281,131,31,,2,2000
282,294,21,15-03-2024,1,2000
283,261,25,,3,5000
284,145,15,15-03-2024,4,-100
285,227,35,15-03-2024,-1,
286,114,49,01-01-2024,4,-100
287,203,43,15-03-2024,-1,5000
288,259,41,01-01-2024,-2,5000
289,20,37,10-02-2024,-2,2000
290,183,57,invalid,4,1000
291,89,42,15-03-2024,3,
292,213,47,invalid,4,
293,25,92,01-01-2024,-2,1000
294,264,61,15-03-2024,0,5000
295,69,14,,-1,-100
296,272,68,10-02-2024,1,
297,84,53,10-02-2024,4,1000
298,113,84,15-03-2024,3,2000
299,228,34,10-02-2024,3,2000
300,226,76,,2,5000
301,61,97,invalid,-1,
302,293,24,,-1,-100
303,250,20,10-02-2024,-1,
304,4,69,invalid,4,2000
305,141,30,,-2,
306,258,88,01-01-2024,0,2000
307,72,7,01-01-2024,4,1000
308,40,36,invalid,1,1000
309,40,38,invalid,-2,2000
310,130,80,invalid,4,-100
311,214,52,01-01-2024,0,-100
312,7,15,,-1,
313,188,46,invalid,0,2000
314,62,23,01-01-2024,-2,5000
315,73,12,invalid,4,-100
316,84,93,invalid,-1,-100
317,203,44,invalid,4,1000
318,175,15,01-01-2024,-2,-100
319,57,93,,1,-100
320,67,49,01-01-2024,-1,-100
321,130,21,01-01-2024,0,2000
322,15,15,invalid,-2,2000
323,95,14,15-03-2024,2,1000
324,193,42,15-03-2024,0,
325,154,80,15-03-2024,0,-100
326,259,15,01-01-2024,-1,
327,288,63,invalid,4,2000
328,255,68,15-03-2024,3,-100
329,20,27,10-02-2024,0,
330,229,87,10-02-2024,-2,
331,105,93,10-02-2024,2,5000
332,153,53,,1,2000
333,182,52,invalid,2,1000
334,259,63,01-01-2024,-2,1000
335,154,73,01-01-2024,-1,5000
336,249,53,invalid,-2,
337,141,57,,3,5000
338,141,52,invalid,3,5000
339,123,43,,3,2000
340,9,7,15-03-2024,0,-100
341,116,42,15-03-2024,-1,
342,117,4,,4,1000
343,25,69,invalid,3,1000
344,226,5,15-03-2024,4,5000
345,127,75,invalid,1,5000
346,207,92,15-03-2024,1,5000
347,60,80,invalid,4,
348,200,41,invalid,-2,5000
349,217,94,10-02-2024,3,5000
350,289,4,,0,-100
351,134,2,01-01-2024,1,
352,147,67,,2,2000
353,215,21,invalid,-1,2000
354,105,70,invalid,2,-100
355,188,43,,4,1000
356,222,82,invalid,1,2000
357,25,69,15-03-2024,1,
358,56,9,invalid,-2,1000
359,95,84,,-2,5000
360,53,28,,3,
361,43,26,,4,1000
362,108,82,10-02-2024,-1,2000
363,117,83,10-02-2024,3,5000
364,77,3,10-02-2024,-2,5000
365,52,73,10-02-2024,0,
366,160,100,10-02-2024,-1,5000
367,130,95,10-02-2024,0,1000
368,55,49,10-02-2024,3,-100
369,131,17,,-2,2000
370,113,63,01-01-2024,-1,
371,134,55,10-02-2024,3,-100
372,17,23,,1,-100
373,23,34,01-01-2024,3,
374,191,69,10-02-2024,4,1000
375,111,15,01-01-2024,2,2000
376,249,47,01-01-2024,1,
377,23,3,15-03-2024,0,-100
378,101,83,invalid,1,-100
379,4,28,15-03-2024,3,
380,237,3,01-01-2024,1,-100
381,75,4,,2,
382,61,88,10-02-2024,4,
383,287,31,invalid,3,2000
384,103,45,10-02-2024,2,
385,237,59,,1,-100
386,263,45,invalid,2,5000
387,54,75,15-03-2024,1,2000
388,45,37,01-01-2024,-1,-100
389,89,65,,1,-100
390,30,9,01-01-2024,-2,2000
391,50,17,01-01-2024,2,2000
392,271,65,10-02-2024,4,-100
393,39,3,,2,5000
394,23,26,01-01-2024,0,1000
395,36,53,15-03-2024,4,-100
396,224,31,invalid,4,2000
397,132,26,,0,
398,7,23,10-02-2024,-2,
399,7,30,,2,2000
400,173,10,10-02-2024,4,2000
401,90,72,invalid,2,1000
402,42,89,15-03-2024,4,2000
403,131,64,01-01-2024,0,
404,115,22,,0,5000
405,216,15,10-02-2024,1,2000
406,100,56,invalid,3,1000
407,69,74,01-01-2024,2,5000
408,161,20,invalid,2,1000
409,237,47,15-03-2024,4,5000
410,251,87,01-01-2024,1,2000
411,170,53,01-01-2024,2,
412,108,53,01-01-2024,4,5000
413,27,1,10-02-2024,-2,-100
414,161,2,01-01-2024,0,1000
415,118,58,invalid,0,5000
416,269,19,10-02-2024,3,1000
417,92,62,01-01-2024,0,
418,195,78,invalid,-1,1000
419,110,72,invalid,-2,1000
420,94,12,,-2,-100
421,180,26,invalid,1,1000
422,38,27,15-03-2024,-1,5000
423,177,29,01-01-2024,2,1000
424,72,15,01-01-2024,3,2000
425,217,46,01-01-2024,-2,1000
426,77,1,invalid,-1,2000
427,296,60,invalid,-1,1000
428,277,92,01-01-2024,4,1000
429,268,57,10-02-2024,-2,5000
430,252,3,10-02-2024,4,2000
431,2,18,15-03-2024,1,2000
432,146,52,,-1,-100
433,252,60,15-03-2024,0,1000
434,170,34,01-01-2024,-1,1000
435,294,96,01-01-2024,2,5000
436,22,93,01-01-2024,-2,-100
437,42,89,,2,-100
438,170,60,invalid,1,5000
439,48,26,,3,2000
440,84,72,15-03-2024,0,
441,252,19,invalid,-2,5000
442,165,22,invalid,-1,2000
443,51,93,15-03-2024,0,-100
444,38,33,invalid,-1,5000
445,224,38,10-02-2024,1,
446,125,35,15-03-2024,3,1000
447,56,67,15-03-2024,-2,5000
448,198,83,10-02-2024,1,
449,113,10,,1,
450,250,91,,3,5000
451,66,15,,1,2000
452,144,11,invalid,1,5000
453,22,90,10-02-2024,-1,-100
454,76,24,15-03-2024,4,
455,99,77,15-03-2024,2,
456,93,96,15-03-2024,-1,1000
457,257,4,invalid,3,
458,1,13,invalid,0,1000
459,168,73,,3,
460,224,57,invalid,3,
461,166,98,,3,5000
462,93,37,,3,5000
463,62,48,15-03-2024,1,-100
464,13,71,invalid,3,2000
465,235,1,,0,-100
466,112,60,10-02-2024,3,
467,96,12,10-02-2024,-1,-100
468,113,21,invalid,1,5000
469,160,11,15-03-2024,-1,
470,137,44,15-03-2024,1,
471,285,58,,-1,-100
472,40,44,invalid,-2,1000
473,116,78,10-02-2024,2,2000
474,50,98,,2,-100
475,145,34,,1,-100
476,237,25,01-01-2024,-2,2000
477,190,4,invalid,0,
478,215,64,,-2,
479,168,90,10-02-2024,4,1000
480,39,16,01-01-2024,1,-100
481,193,10,10-02-2024,-2,2000
482,255,66,15-03-2024,0,-100
483,206,35,01-01-2024,1,5000
484,250,83,01-01-2024,2,-100
485,53,6,,3,-100
486,13,19,15-03-2024,-2,5000
487,277,59,,2,5000
488,153,53,invalid,2,2000
489,264,8,10-02-2024,-1,
490,254,78,10-02-2024,0,1000
491,264,10,,4,5000
492,226,67,10-02-2024,3,
493,290,38,10-02-2024,-2,2000
494,29,29,invalid,2,-100
495,202,15,15-03-2024,2,2000
496,257,87,01-01-2024,4,2000
497,123,23,,0,5000
498,10,82,,3,1000
499,282,46,invalid,3,5000
500,152,83,invalid,4,-100
501,233,28,01-01-2024,2,5000
502,49,26,15-03-2024,2,-100
503,143,10,,2,5000
504,192,47,invalid,2,1000
505,64,4,,-1,
506,82,55,10-02-2024,-1,1000
507,187,66,,4,5000
508,53,67,15-03-2024,3,2000
509,227,7,15-03-2024,1,
510,36,55,,-2,2000
511,134,80,10-02-2024,0,1000
512,108,31,15-03-2024,1,
513,41,74,invalid,-1,5000
514,159,19,,-1,2000
515,128,28,10-02-2024,-1,5000
516,218,81,invalid,1,-100
517,270,28,,-1,
518,3,19,10-02-2024,1,2000
519,130,87,invalid,-1,1000
520,192,20,15-03-2024,2,1000
521,24,13,,2,1000
522,28,77,,-2,1000
523,63,43,15-03-2024,-1,2000
524,211,11,01-01-2024,4,-100
525,185,48,invalid,-2,1000
526,6,15,15-03-2024,1,1000
527,173,17,,-2,1000
528,5,54,invalid,-1,-100
529,69,50,invalid,1,
530,12,28,01-01-2024,4,1000
531,236,83,,1,1000
532,34,4,10-02-2024,2,1000
533,47,22,01-01-2024,1,
534,150,86,01-01-2024,1,1000
535,131,39,10-02-2024,-2,
536,132,34,10-02-2024,4,
537,84,97,01-01-2024,3,5000
538,266,44,invalid,1,5000
539,192,42,15-03-2024,0,1000
540,121,40,15-03-2024,3,2000
541,233,97,01-01-2024,2,5000
542,4,12,invalid,4,5000
543,272,2,10-02-2024,4,2000
544,10,28,01-01-2024,2,-100
545,97,74,,1,1000
546,120,86,invalid,-2,-100
547,77,81,,3,-100
548,87,90,,2,
549,294,67,01-01-2024,2,
550,199,71,invalid,0,1000
551,167,72,,1,2000
552,94,84,invalid,3,
553,172,76,15-03-2024,2,5000
554,253,99,,4,1000
555,65,81,,2,-100
556,288,92,invalid,2,1000
557,54,10,15-03-2024,2,
558,114,86,,-2,2000
559,69,57,01-01-2024,-1,-100
560,226,97,invalid,0,2000
561,133,86,invalid,4,1000
562,104,37,,-2,2000
563,170,77,15-03-2024,0,2000
564,250,91,,2,1000
565,90,64,10-02-2024,0,-100
566,29,79,,1,2000
567,193,86,10-02-2024,1,2000
568,156,94,01-01-2024,-1,1000
569,105,40,invalid,-1,5000
570,138,98,invalid,0,2000
571,104,60,15-03-2024,-2,
572,264,98,,-2,-100
573,263,48,01-01-2024,2,2000
574,257,99,10-02-2024,-2,1000
575,141,19,15-03-2024,-1,
576,41,72,01-01-2024,-2,1000
577,111,33,01-01-2024,2,2000
578,29,44,10-02-2024,1,
579,16,92,10-02-2024,-2,-100
580,225,37,invalid,-2,-100
581,131,89,,-1,-100
582,29,36,15-03-2024,0,5000
583,62,81,,1,1000
584,112,88,15-03-2024,0,2000
585,36,21,01-01-2024,2,
586,239,2,10-02-2024,2,1000
587,134,31,10-02-2024,0,2000
588,141,97,01-01-2024,-1,5000
589,273,30,01-01-2024,3,2000
590,228,76,15-03-2024,-1,1000
591,20,44,01-01-2024,3,2000
592,111,12,15-03-2024,3,
593,39,51,,-1,5000
594,228,49,10-02-2024,3,
595,169,24,10-02-2024,3,5000
596,257,24,10-02-2024,3,5000
597,11,60,,1,2000
598,53,11,,2,
599,158,13,invalid,3,5000
600,172,91,15-03-2024,2,5000
601,134,72,15-03-2024,4,2000
602,75,74,invalid,2,1000
603,79,72,10-02-2024,4,1000
604,34,64,15-03-2024,1,-100
605,209,20,15-03-2024,2,-100
606,235,72,10-02-2024,0,5000
607,147,73,01-01-2024,-2,1000
608,295,71,01-01-2024,1,5000
609,282,78,invalid,-2,
610,253,28,,0,1000
611,121,2,15-03-2024,-1,1000
612,170,43,15-03-2024,-1,1000
613,188,8,invalid,3,-100
614,253,13,invalid,-1,2000
615,299,85,15-03-2024,1,2000
616,60,92,10-02-2024,-1,-100
617,231,35,10-02-2024,1,-100
618,73,23,,1,-100
619,261,46,15-03-2024,-2,2000
620,293,15,15-03-2024,-1,5000
621,108,2,15-03-2024,2,-100
622,170,61,15-03-2024,4,5000
623,152,76,invalid,-1,5000
624,92,64,01-01-2024,-1,
625,67,52,15-03-2024,-1,2000
626,243,36,01-01-2024,3,5000
627,273,67,10-02-2024,2,2000
628,121,69,,2,2000
629,41,67,10-02-2024,1,
630,242,47,15-03-2024,2,2000
631,134,83,10-02-2024,1,5000
632,191,2,invalid,4,1000
633,89,44,01-01-2024,-2,5000
634,14,64,15-03-2024,1,5000
635,11,81,invalid,-1,2000
636,253,78,01-01-2024,0,5000
637,60,28,invalid,0,1000
638,78,91,10-02-2024,3,2000
639,264,54,15-03-2024,-1,-100
640,84,74,10-02-2024,1,5000
641,286,67,,-1,5000
642,227,36,15-03-2024,3,
643,49,63,10-02-2024,2,-100
644,65,25,15-03-2024,1,-100
645,223,86,01-01-2024,4,1000
646,23,48,15-03-2024,-1,-100
647,93,39,15-03-2024,2,
648,178,47,01-01-2024,3,1000
649,106,94,10-02-2024,2,-100
650,1,21,15-03-2024,1,1000
651,43,30,invalid,3,-100
652,62,92,15-03-2024,3,-100
653,134,31,10-02-2024,3,-100
654,216,26,01-01-2024,-2,5000
655,161,22,10-02-2024,3,-100
656,25,21,,-2,5000
657,120,1,15-03-2024,2,2000
658,17,37,15-03-2024,4,
659,261,77,01-01-2024,-2,1000
660,49,85,15-03-2024,2,1000
661,161,46,invalid,-2,2000
662,238,9,invalid,2,-100
663,112,17,10-02-2024,2,
664,1,47,01-01-2024,4,2000
665,288,85,,3,2000
666,119,95,10-02-2024,4,1000
667,271,59,01-01-2024,4,5000
668,120,54,01-01-2024,3,5000
669,179,86,10-02-2024,2,-100
670,137,12,10-02-2024,3,-100
671,254,64,15-03-2024,2,2000
672,12,6,,3,-100
673,154,53,invalid,0,5000
674,36,16,15-03-2024,-2,
675,290,90,01-01-2024,4,1000
676,208,5,,2,5000
677,131,73,,-1,-100
678,140,46,10-02-2024,3,1000
679,68,14,,3,1000
680,114,44,,1,2000
681,8,63,01-01-2024,-1,-100
682,54,94,15-03-2024,-1,2000
683,134,52,,4,1000
684,231,26,10-02-2024,0,2000
685,21,53,15-03-2024,-2,-100
686,184,29,10-02-2024,0,5000
687,123,19,,-2,
688,222,47,15-03-2024,2,5000
689,282,8,,4,1000
690,225,23,01-01-2024,0,5000
691,160,35,15-03-2024,1,2000
692,149,95,10-02-2024,-2,-100
693,143,53,01-01-2024,0,5000
694,171,99,invalid,4,5000
695,165,96,10-02-2024,1,-100
696,1,58,,4,2000
697,271,5,10-02-2024,-1,
698,65,16,invalid,3,5000
699,54,17,10-02-2024,2,1000
700,150,32,01-01-2024,4,2000
701,253,96,10-02-2024,2,2000
702,291,52,15-03-2024,4,5000
703,86,20,invalid,-1,-100
704,120,66,10-02-2024,4,5000
705,29,84,invalid,4,5000
706,143,82,01-01-2024,0,-100
707,219,1,15-03-2024,3,1000
708,57,58,,-1,-100
709,265,93,10-02-2024,1,5000
710,272,93,01-01-2024,3,
711,122,83,invalid,-2,-100
712,1,44,invalid,0,1000
713,80,6,01-01-2024,3,-100
714,108,50,10-02-2024,-2,-100
715,215,72,,-1,2000
716,99,88,10-02-2024,4,2000
717,1,20,15-03-2024,2,5000
718,252,14,10-02-2024,3,5000
719,252,5,15-03-2024,3,-100
720,39,41,invalid,-2,
721,237,40,15-03-2024,-2,5000
722,8,34,,2,-100
723,101,80,01-01-2024,-2,-100
724,247,45,15-03-2024,-2,-100
725,5,71,10-02-2024,3,-100
726,289,80,15-03-2024,2,-100
727,144,71,invalid,2,2000
728,128,27,15-03-2024,4,1000
729,169,78,,3,1000
730,86,78,15-03-2024,4,-100
731,5,44,,-1,5000
732,267,33,10-02-2024,-1,
733,147,33,invalid,3,-100
734,64,44,01-01-2024,-2,
735,131,20,10-02-2024,0,2000
736,82,36,10-02-2024,-1,1000
737,112,7,01-01-2024,-1,2000
738,61,32,15-03-2024,3,5000
739,53,67,15-03-2024,4,5000
740,23,39,15-03-2024,3,-100
741,99,93,invalid,0,5000
742,88,24,10-02-2024,0,5000
743,226,86,,2,2000
744,160,70,01-01-2024,3,
745,264,88,10-02-2024,-1,1000
746,21,87,15-03-2024,4,5000
747,257,54,01-01-2024,4,5000
748,38,38,,1,2000
749,291,74,10-02-2024,1,1000
750,122,80,10-02-2024,-2,2000
751,207,75,invalid,-1,
752,233,32,10-02-2024,1,2000
753,215,45,10-02-2024,4,1000
754,226,61,,-1,1000
755,253,70,,3,5000
756,200,88,01-01-2024,-1,
757,177,97,15-03-2024,1,-100
758,60,53,,4,5000
759,194,51,01-01-2024,-1,2000
760,45,76,10-02-2024,0,2000
761,237,56,01-01-2024,-2,1000
762,233,27,01-01-2024,2,1000
763,241,38,01-01-2024,4,1000
764,170,62,01-01-2024,1,-100
765,229,18,,3,-100
766,5,64,15-03-2024,2,5000
767,120,77,01-01-2024,-2,-100
768,237,30,invalid,4,1000
769,37,49,10-02-2024,4,5000
770,104,41,10-02-2024,0,5000
771,38,13,10-02-2024,0,
772,102,34,10-02-2024,0,-100
773,120,100,10-02-2024,0,2000
774,198,94,01-01-2024,1,2000
775,107,25,15-03-2024,4,
776,185,66,invalid,1,1000
777,212,100,,-1,
778,147,18,invalid,3,1000
779,288,5,,-1,-100
780,220,19,,3,-100
781,20,42,invalid,-2,5000
782,76,18,01-01-2024,-1,5000
783,59,32,10-02-2024,-2,5000
784,22,21,01-01-2024,-2,5000
785,184,10,10-02-2024,-2,2000
786,144,37,15-03-2024,0,5000
787,144,49,,2,5000
788,47,86,invalid,2,5000
789,276,13,15-03-2024,1,1000
790,269,55,10-02-2024,-2,5000
791,158,17,01-01-2024,0,
792,289,9,invalid,-1,5000
793,192,88,,-1,5000
794,126,44,15-03-2024,1,2000
795,96,78,,1,5000
796,282,46,10-02-2024,-2,1000
797,53,8,,-2,-100
798,160,37,01-01-2024,-1,5000
799,154,19,15-03-2024,-1,5000
800,271,63,15-03-2024,-1,5000
801,141,92,01-01-2024,-1,2000
802,187,46,,2,-100
803,291,94,01-01-2024,-2,2000
804,37,71,invalid,-2,2000
805,290,26,01-01-2024,-1,2000
806,53,46,,0,1000
807,231,46,01-01-2024,-1,-100
808,226,75,10-02-2024,3,1000
809,39,14,01-01-2024,4,1000
810,88,85,01-01-2024,4,-100
811,12,63,,1,1000
812,103,72,invalid,3,-100
813,227,3,invalid,0,5000
814,27,28,,1,2000
815,141,29,,4,1000
816,40,87,,0,-100
817,37,18,10-02-2024,1,
818,116,35,15-03-2024,-1,1000
819,125,77,01-01-2024,-1,1000
820,267,76,,0,-100
821,296,47,,1,
822,195,5,,2,
823,226,75,invalid,0,5000
824,205,59,,0,1000
825,90,75,01-01-2024,3,2000
826,3,59,,-2,1000
827,97,47,01-01-2024,0,2000
828,259,95,10-02-2024,2,2000
829,133,95,15-03-2024,-1,-100
830,190,13,invalid,1,1000
831,79,78,01-01-2024,-2,-100
832,293,89,10-02-2024,1,5000
833,118,33,15-03-2024,-1,2000
834,52,97,15-03-2024,0,
835,55,62,15-03-2024,3,2000
836,86,79,01-01-2024,2,5000
837,191,16,10-02-2024,-2,2000
838,126,44,,2,-100
839,109,58,10-02-2024,4,1000
840,157,6,10-02-2024,2,
841,264,89,10-02-2024,2,-100
842,120,15,01-01-2024,2,1000
843,98,4,01-01-2024,-1,
844,16,56,01-01-2024,2,5000
845,97,64,10-02-2024,3,2000
846,263,68,01-01-2024,2,
847,184,94,15-03-2024,-1,5000
848,161,34,01-01-2024,1,1000
849,101,91,invalid,-1,
850,225,95,01-01-2024,4,5000
851,106,56,01-01-2024,4,1000
852,126,32,01-01-2024,3,-100
853,18,9,01-01-2024,3,2000
854,128,63,invalid,0,5000
855,66,72,,-1,-100
856,64,78,01-01-2024,1,1000
857,52,33,15-03-2024,0,
858,144,87,invalid,0,2000
859,158,21,,-2,1000
860,63,55,01-01-2024,2,5000
861,101,76,,0,2000
862,233,57,15-03-2024,0,-100
863,6,2,invalid,3,2000
864,299,13,invalid,1,-100
865,3,4,,0,1000
